ip.len,udp.length,dns.flags.authoritative,dns.flags.recdesired,dns.flags.recavail,dns.flags.checkdisable,dns.count.answers,dns.count.auth_rr,dns.qry.type,target
561.0,541.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
584.0,564.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
352.0,332.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,0.0
67.0,47.0,0.0,1.0,1.0,0.0,0.0,0.0,255.0,1.0
826.0,806.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
829.0,809.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,3661.0,0.0,1.0,1.0,0.0,15.0,0.0,255.0,1.0
1500.0,3319.0,0.0,1.0,1.0,0.0,201.0,2.0,255.0,1.0
402.0,382.0,0.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
780.0,760.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
849.0,829.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
796.0,776.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
1500.0,3463.0,0.0,1.0,1.0,0.0,13.0,0.0,255.0,1.0
460.0,440.0,0.0,0.0,0.0,1.0,0.0,10.0,12.0,0.0
797.0,777.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,3661.0,0.0,1.0,1.0,0.0,15.0,0.0,255.0,1.0
1500.0,3311.0,0.0,1.0,1.0,0.0,200.0,2.0,255.0,1.0
854.0,834.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
553.0,533.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
401.0,381.0,0.0,0.0,0.0,1.0,0.0,5.0,12.0,0.0
1500.0,3291.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
796.0,776.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,2436.0,0.0,1.0,1.0,0.0,12.0,0.0,255.0,1.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
1500.0,3538.0,0.0,1.0,1.0,0.0,14.0,0.0,255.0,1.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
1500.0,3661.0,0.0,1.0,1.0,0.0,15.0,0.0,255.0,1.0
111.0,91.0,0.0,1.0,1.0,0.0,1.0,0.0,255.0,1.0
1500.0,4014.0,0.0,1.0,1.0,0.0,14.0,0.0,255.0,1.0
374.0,354.0,0.0,0.0,0.0,1.0,0.0,5.0,12.0,0.0
828.0,808.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
